,廠名,地址,電話,星評,緯度,經度
0,TOYOTA 新莊服務廠,242新北市新莊區中正路70-2號,02 2997 0580,4.2,25.038386,121.4591964
1,TOYOTA 陽明服務廠,112台北市北投區大業路6號,02 2895 0404,3.9,25.1221082,121.4999085
2,TOYOTA 中和服務廠,235新北市中和區建康路70號,02 2226 0782,4.1,25.0001467,121.4877597
3,TOYOTA 三重服務廠,241新北市三重區溪尾街22號,02 2280 1588,4.2,25.076085,121.4908943
4,TOYOTA 土城服務廠,236新北市土城區中央路三段4號,02 2269 0911,4.2,24.9699291,121.4389041
5,TOYOTA 林口服務廠,244新北市林口區文化一路一段35號,02 2609 0977,4.1,25.0693644,121.370326
6,TOYOTA 樹林服務廠,238新北市樹林區大安路40號,02 2687 4518,3.9,25.00506,121.4307995
7,TOYOTA 鶯歌服務廠,239新北市鶯歌區文化路146號號,02 2678 6063,4.1,24.950711,121.352097
8,TOYOTA 蘆洲服務廠,247新北市蘆洲區正和街23號,02 2288 0774,4.2,25.08216,121.4699809
9,TOYOTA 北永和服務廠,234新北市永和區保生路55號,02 2927 6261,4.3,25.0116306,121.504641
10,TOYOTA 淡水服務廠,251新北市淡水區中正東路二段59號,02 2809 6266,4.3,25.1550469,121.4596715
11,TOYOTA 北板橋服務廠,220新北市板橋區中山路二段427號,02 2962 9906,4.1,25.0200057,121.4810042
12,TOYOTA 丹鳳服務廠,242新北市新莊區中正路717號,02 2902 7616,4,25.0292271,121.424167
13,TOYOTA 濱江服務廠,104台北市中山區濱江街269號,02 2515 8747,4.1,25.0726213,121.5427312
14,TOYOTA 板橋營業所,220新北市板橋區信義路157號,02 2958 6399,4.2,24.9929317,121.4584144
15,TOYOTA士林服務廠,111台北市士林區文昌路69號,02 8866 3600,4.3,25.0955145,121.5211792
16,TOYOTA竹林保修站,244新北市林口區寶林路21號,02 2601 1561,4.7,25.0837949,121.3862504
17,TOYOTA北大保修站,238新北市樹林區佳園路三段143號,02 2668 3027,4.8,24.9494018,121.3861865
18,TOYOTA 三多保修站,238新北市樹林區中正路714號,02 2687 4512,5,25.017862,121.4092525
19,TOYOTA 南港服務廠,115台北市南港區南港路二段312號,02 2782 7117,4,25.0550725,121.593656
20,TOYOTA 萬大服務廠,108台北市萬華區艋舺大道91號,02 2304 2255,4.1,25.0337818,121.5027042
21,TOYOTA 新店營業所,231新北市新店區寶橋路233-1號,02 2917 9707,4,24.979567,121.5520265
22,TOYOTA 松山服務廠,110台北市信義區基隆路一段88號,02 2769 5823,4.6,25.0464462,121.5672786
23,TOYOTA 大安服務廠,106台北市大安區和平東路二段128號,02 2732 9295,3.8,25.024735,121.5438598
24,TOYOTA 內湖營業所,114台北市內湖區內湖路一段91巷34號,02 2799 7840,4.1,25.0856324,121.5622721
25,TOYOTA 八堵服務廠,205基隆市暖暖區八堵路167之1號,02 2455 3536,4,25.1045998,121.7264806
26,TOYOTA 文山服務廠,116台北市文山區羅斯福路六段92巷2號,02 2933 9938,4.3,24.9982068,121.539955
27,TOYOTA 汐止服務廠,221新北市汐止區大同路三段110號號,02 8648 7808,4.2,25.0770855,121.6710193
28,TOYOTA 安坑服務廠,231新北市新店區安和路二段251號,02 2211 3730,4,24.9775094,121.5165124
29,TOYOTA 中正服務廠,100台北市中正區忠孝東路二段122號,02 2395 6502,4.2,25.0425367,121.5314665
30,TOYOTA 深坑服務廠,222新北市深坑區北深路三段47號,02 2662 8767,4.3,25.0012278,121.6079876
31,TOYOTA 大武崙服務廠,204基隆市安樂區武訓街92號,02 2433 7366,4.3,25.1513193,121.6989479
32,TOYOTA 撫遠服務廠,105台北市松山區撫遠街419號,02 2761 8676,4.1,25.067771,121.567004
33,TOYOTA 信義服務廠,110台北市信義區基隆路二段149之36號,02 2377 3278,4.4,25.026585,121.55531
34,TOYOTA 光復服務廠,105台北市松山區光復北路15號,02 2748 7669,4.2,25.0497249,121.5581623
35,TOYOTA基隆保修站,201基隆市信義區東明路231號,02 2465 2727,4.8,25.1278689,121.7567406
36,TOYOTA 中興保修站,221新北市汐止區中興路26號,02 8692 3766,5,25.060081,121.6366672
37,TOYOTA 新竹服務廠,300新竹市東區中華路一段257-5號,03 531 6192,4.5,24.8115968,120.9881684
38,TOYOTA 桃園服務廠,330桃園市桃園區中山路747號,03 220 5009,4.8,24.9902756,121.2909446
39,TOYOTA 中壢服務廠,320桃園市中壢區中園路162號,03 462 2338,4.1,24.969701,121.2363564
40,TOYOTA 頭份服務廠,351苗栗縣頭份市中華路1232號,03 768 1718,5,24.6920124,120.9144236
41,TOYOTA 竹北營業所,302新竹縣竹北市中華路520號,03 551 5135,4.2,24.8431963,121.0058947
42,TOYOTA 竹東服務廠,310新竹縣竹東鎮長春路三段319號,03 594 4156,4.7,24.7465214,121.0808187
43,TOYOTA 苑裡營業所,358苗栗縣苑裡鎮九鄰129-2號,03 786 6446,4.3,24.426761,120.64349
44,TOYOTA 八德營業所,334桃園市八德區介壽路二段474號,03 363 3300,4.3,24.9450621,121.2973026
45,TOYOTA 苗栗營業所,360苗栗縣苗栗市水源里20鄰水源25-10號,03 733 8308,4.1,24.543465,120.809657
46,TOYOTA 楊梅服務廠,326桃園市楊梅區中山北路一段33號,03 478 0877,4.5,24.9073124,121.1505968
47,TOYOTA 龍潭服務廠,325桃園市龍潭區中正路414號,03 489 0606,4.8,24.8589962,121.2184465
